community_id,income_per_capita_usd,healthcare_access_pct,schooling_years,clean_water_pct,smoking_rate_pct,infant_mortality_per_1000,life_expectancy_years
C001,6200,63,8.1,72,27,31,62.8
C002,34800,90,13.9,96,16,8,78.6
C003,12900,76,10.6,84,24,20,69.5
C004,47200,97,15.4,99,11,4,82.7
C005,4100,58,6.9,66,31,40,59.3
C006,22100,84,12.2,91,20,13,74.5
C007,18400,,11.7,88,22,16,72.1
C008,39500,94,14.6,98,13,6,80.9
C009,8900,70,9.4,78,26,25,66.5
C010,56000,99,16.2,100,9,3,84.0
C011,15700,79,11.1,86,23,18,70.7
C012,26700,87,13.0,93,18,10,76.2
C013,7300,67,8.7,75,28,28,64.6
C014,31800,91,13.6,95,,7,78.3
C015,11200,73,10.1,82,25,22,68.1
C016,43500,96,15.0,99,12,5,81.8
C017,5300,60,7.5,69,30,36,60.8
C018,24600,86,12.6,92,19,11,75.2
C019,20100,82,11.9,89,21,15,73.2
C020,36500,93,14.2,97,15,7,79.8
C021,9700,71,9.6,80,27,24,67.2
C022,,88,13.3,94,17,9,77.0
C023,14400,77,10.9,85,24,19,70.1
C024,50500,98,15.8,100,10,4,83.3
C025,6800,65,8.4,73,29,30,63.5
C026,28900,89,13.2,94,17,9,77.1
C027,17600,80,11.4,87,22,17,71.5
C028,42000,95,14.8,98,14,6,81.2
C029,3600,55,6.5,61,32,44,57.9
C030,11800,74,10.3,83,25,21,68.7
C031,27500,88,12.8,92,18,10,76.0
C032,45500,96,15.2,99,12,5,82.1
